Country,Asse7,Completion #,Activation type,Supplier,Environment,Running status,Installation date,Start date,Failure date,ACLS Date,POOH date,Last Update,Run life,Start-up delay,Status Check,Date/Time Check,Ordinal Check,Max Installs,Last Install,Checks,Stop Index,Stop Group,Reason for Stop or POOH,Class,ESP Fail?,Tubing size (inch),Tubing Weight (PPF),Tubing Length (m MD RT),Intake depth (m MD),Intake depth (m TVD),Deviation at ESP (°),Gauge depth (m MD),Max well deviation (°),Distance intake perf (MD) (formula),Distance intake pump (TVD) (formula),Casing size (inch) (formula),Casing Weight (PPF) (formula),Venting (No/Flare/Flowline),Packer (Y/N),Packer Depth (m MD RT),Packer Vented (text),Shroud (Y/N),Y-Tool (Y/N),Pump Placement Rel. Producing Zone (text),Kevlar Protection (Y/N),Sandguard,Tubing Check Valve,Total number of stages,Pump series,Pump model,Number of pumps,Intake,Gas Device,Motor series,Motor type,PMM (Y/N),Number of motors,Total HP,Protector information,Number of protectors,Cable type (F/R),Cable size AWG,Lead (Y/N),Cable kV,Cable Armor,Cap Tube,Cable Details,Electrical supply (Grid/Group Electrogen/Turbine),Surface eqpt (Switchboard/MVD/VSD),Drive manufacturer,Drive,Drive rating (kVA),Total stops,Average Production (bwpd),Average Production (bopd),Average Production (bfpd),BSW (%),Sand (Y/N),GOR (scf/d),PIP (psi),THP (psi),Temperature intake (°C),H2S (Y/N),Chemical injection (Y/N),Usage Motor,Usage Pump,Usage Protector,Usage Intake,Usage Round,Usage Flat,Usage Gauge,Pump is NEW?
CUBA,LGLMX8,3,ESP,GOONER,Onshore,Pulled,27/04/2004,27/04/2004,31/12/2004,,31/12/2004,,248,0,OK,OK,Normal,8,No,OK,14,Electric,Cable Failure,F,Yes,"3,5",,,6968,,,,,-6968,0,7,26 & 29,,,,,,,,,N,,147,513,GC10000 GPMTXH6 01G-06617 GPMTSXH6 01G-06616 GPMTSXH6 01G-06615 GPMTSXH6,,41G-21965 GPXARCINT H6 FER H6,,,21k79090 KMHUGX 21k79091 KMHLGX,N,2,608,31G-94370 GSB3GXHLPFSH6 31G-94371 GSB3GXLTH6,,F,2,Y,5,,,S/N: 2/7-4kv 4KV-ELB20 Rda S/N; 61C13960A 2Sol/LD/5KV- CTL,,,,ABB 400,,77,"1,007,015,605","4,010,912,634","1,047,124,731","96,169,594",,,,,,,,,,,,,,,Unknown
CUBA,LGLMX8,4,ESP,GOONER,Onshore,Pulled,07/01/2005,08/01/2005,25/7/2005,,27/07/2005,,199,1,OK,OK,Normal,8,No,OK,18,Electric,Motor Failure,F,Yes,"3,5",,,6779,,,,,-6779,0,7,26 & 29,,,,,,,,,N,,147,513,GC10000 GPMTSXH6 01G-06617 GPMTSXH6 01G-06616 GPMTSXH6 01G-06615 GPMTSXH6,,41G-22391 GPXARCINT H6,,,21k79090 KMHUGX 21k79091 KMHLGX,N,2,608,31G-96140 GSB3GXFERHLPFSH6 31G-96139 GSB3GXLTH6,,F,2,Y,5,,Y,S/N: 62C-29640C/2Sol-5kv Flat/LD/W3/8 T/CTL New S/N: 61C-29640B 1Sol-5kv Flat/LD/W3/8 T/CTL New,,,,ABB 400,,77,"100,773,553","3,101,031,841","1,038,745,849","97,014,639",,,,,,,,,,,,,,,Unknown
CUBA,LGLMX8,5,ESP,GOONER,Onshore,Pulled,27/07/2005,28/07/2005,20/7/2007,,20/07/2007,,723,1,OK,OK,Normal,8,No,OK,39,Unknown,Unknown,U,Yes,"3,5",,,6747,,,,,-6747,0,7,26 & 29,,,,,,,,,N,,167,513,GC10000 GPMTSXH6 01G-08696 GPMTARM1:3 H6X 01G-10131 GPMTARM1:3 H6X 01G-08678 GPMTARM1:3 H6X,,41G-43735 GPXARCINT H6,,,21k-81536 KMHUGX 21k-81535 KMHLGX,N,2,608,31G-96225 GSB3XABHLPFSH6 31G-96224 GSB3XABLTFSAH6,,F,2,Y,5,G,Y,REDALEAD S/N: 35538 2/7-F-Cap-ELB (Used) REDALEAD S/N: 44486 2/7-ELBG5W,,,,ABB 400,,77,"106,882,657","2,562,601,853","1,094,452,588","97,658,554",,,,,,,,,,,,,,,Unknown
CUBA,LGLMX8,6,ESP,GOONER,Onshore,Pulled,23/07/2007,23/07/2007,14/6/2008,,14/06/2008,,327,0,OK,OK,Normal,8,No,OK,11,Elective,Water Shutoff,E,Yes,"3,5",,,6002,,,,,-6002,0,7,26 & 29,,,,,,,,,N,,87,538,P100 SSD CENTURION 01G-0092828 PMXSSD H6 01G-15367 PMXSSD H6,,41G-53851 GPXARCINT H6,,,21K-83940 KMHGUX 21k-83939 KMHGLX,N,2,608,31G-101944 GSB3GXFERHLPFS H6 31G-101943 GSB3GXFERLTH6,,F,2,Y,4,SS,,REDALEAD S/N: 0001 2/7 ELB 020 SS4F NEW REDALEAD S/N: 51179 2/7 ELB 020 SS4F NEW,,,,ABB 400,,77,"1,071,299,637","1,787,007,488","1,089,169,712","98,359,294",,,,,,,,,,,,,,,Unknown
CUBA,LGLMX8,7,ESP,GOONER,Onshore,Pulled,22/07/2008,28/07/2008,3/11/2008,,03/11/2008,,104,6,OK,OK,Normal,8,No,OK,11,Elective,Water Shutoff,E,Yes,"3,5",,,"5974,61",,,,,"-5974,61",0,7,26 & 29,,,,,,,,,N,,104,538,P23 PMXSSDFER CENTURION 01G-17778 PMXSSD H6,,42G-49956 GSTEVXH6FER,,,21K-87177 KMHGX,N,1,228,31G-104406 GSB3GXFERHLPFS H6 31G-104407 GSB3GXFERLTH6,,F,2,Y,4,SS,,REDALEAD S/N: 0001 2/7 ELB 020 SS4F NEW REDALEAD S/N: 51179 2/7 ELB 020 SS4F NEW,,,,ABB 400,,77,"104,2","35,8",140,"74,428,571",,,,,,,,,,,,,,,Unknown
CUBA,LGLMX8,8,ESP,GOONER,Onshore,ACLS,15/11/2008,15/11/2008,,08/01/2009,08/01/2009,,54,0,OK,OK,Normal,8,Yes,OK,39,Unknown,Unknown,U,Unknown,"3,5",,,10100,,,,,-10100,0,7,26 & 29,,,,,,,,,N,,344,538,P23-68STG CENTURION 01G-18139 PMXSSD H6 SERIE 538 P23-104STG CENTURION 01G-17778 PMXSSD H6 SERIE 538 7,,42G-49956 GSTEVXH6FER,,562,21K-87177 KMHGX SERIE 562,N,1,228,31G-104406 GSB3GXFERHLPFS H6 31G-104407 GSB3GXFERLTH6,,F,2,Y,4,SS,,REDALEAD S/N: 51179 2/7 ELB 020 SS4F (100 ft) REDALEAD S/N: 0001 2/7 ELB 020 SS4F (5000ft) REDALEAD S/N: 0002 2/7 ELB 020 SS4F NEW (5000ft) 4,,,,ABB 400,,77,65,"3,566,666,667","1,006,666,667","64,569,536",,,,,,,,,,,,,,,Unknown
CUBA,LGLMI2,1,ESP,GOONER,Onshore,Pulled,13/02/2003,15/02/2003,20/8/2003,,20/08/2003,,188,2,OK,OK,New Well,4,No,OK,39,Unknown,Unknown,U,Yes,"3,5",,,8017,,,,,-8017,0,"9,625",47,,,,,,,,,N,,217,513,GC8200 GPMTXARMH61:3 01G-04314 GPMTXARMH61:3 01G-04313 GPMTXARMH61:3 01G-04312 GPMTXARMH61:3,,41G-21209 GPINTARX H6,,,21k76814 KMHUGX 21k76813 KMHLGX,N,2,608,31G-93104 GSC3XHLPFSH6 31G-93105 GSB3XLTH6,,F,2,Y,4,SS,Y,S/N:38033 2/7-4KV-ELB20 SS4F CAP S/N:35937,,,,ABB 400,,77,"4,201,563,686","2,089,363,033","6,290,926,719","66,787,675",,,,,,,,,,,,,,,Unknown
CUBA,LGLMI2,2,ESP,GOONER,Onshore,Pulled,21/08/2003,21/08/2003,14/10/2003,,14/10/2003,,54,0,OK,OK,Normal,4,No,OK,39,Unknown,Unknown,U,Yes,"3,5",,,7952,,,,,-7952,0,"9,625",47,,,,,,,,,N,,217,513,GC8200 GPMTXARMH61:3 01G-05324 GPMTXARMH61:3 01G-05323 GPMTXARMH61:3 01G-05322 GPMTXARMH61:3,,41G-20936 GPINTARX H6,,,21k76879 KMHUGX 21k76811 KMHLXG FER,N,2,470,31G-93223 GSC3XHLPFSH6 31G-93222 GSB3GXLTH6,,F,2,Y,4,SS,Y,S/N:38033 2/7-4KV-ELB20 SS4F CAP S/N:35937,,,,ABB 400,,77,"4,985,857,143","1,370,016,667","635,587,381","78,444,873",,,,,,,,,,,,,,,Unknown
CUBA,LGLMI2,3,ESP,GOONER,Onshore,Pulled,15/10/2003,17/10/2003,13/7/2005,,13/07/2005,,637,2,OK,OK,Normal,4,No,OK,14,Electric,Cable Failure,F,Yes,"3,5",,,7901,,,,,-7901,0,"9,625",47,,,,,,,,,N,,158,513,GC8200 GPMTXARMH61:3 01G-05401 GPMTXARMH61:3 01G-05400 GPMTXARMH61:3,,41G-21717 GPXARCINT FER H6,,,21k79003 KMHUGX 21k79004 KMHGLX FER,N,2,608,31G-93263 GSB3GXHLPFSH6 31G-93262 GSB3GXLT H6,,F,2,Y,4,SS,Y,S/N:38033 2/7-4KV-ELB20 SS4F CAP S/N:35937,,,,ABB 400,,77,"507,797,763","7,589,089,987","5,836,886,628","86,998,051",,,,,,,,,,,,,,,Unknown
CUBA,LGLMI2,4,ESP,GOONER,Onshore,ACLS,15/07/2005,17/07/2005,,01/02/2006,01/02/2006,,201,2,OK,OK,Normal,4,Yes,OK,39,Unknown,Unknown,U,Unknown,"3,5",,,7926,,,,,-7926,0,"9,625",47,,,,,,,,,N,,237,513,GC8200 GPMTXARMH61:3 01G-10116 GPMTXARMH61:3 01G-10117 GPMTXARMH61:3 01G-10118 GPMTXARMH61:3,,41G-59087 GPXARCINT FER H6,,,21k-81522 KMHUGX 21k-81523 KMHGLX FER,N,2,532,31G-91210 GSB3GXFERHLPFSH6 31G-91209 GSB3GXFERLT H6,,F,2,Y,5,G,Y,Reda S/N: 44485 New 2/7-ELBG5W- CAP Reda S/N: 44486 New 2/7-ELBG5W- CAP,,,,ABB 400,,77,"4,908,205,197","3,665,716,846","5,274,776,882","9,305,048",,,,,,,,,,,,,,,Unknown
